model_name,model_number
quantized_shufflenet_v2_x1_5,0
regnet_x_800mf,1
efficientnet_b3,2
wide_resnet101_2,3
mobilenet_v3_small,4
mnasnet1_3,5
squeezenet1_0,6
shufflenet_v2_x1_5,7
quantized_shufflenet_v2_x1_0,8
convnext_tiny,9
densenet121,10
shufflenet_v2_x0_5,11
convnext_large,12
resnext50_32x4d,13
regnet_y_1_6gf,14
swin_v2_t,15
vgg16,16
shufflenet_v2_x2_0,17
swin_t,18
convnext_base,19
vgg11,20
resnet34,21
shufflenet_v2_x1_0,22
vgg19_bn,23
quantized_resnet50,24
regnet_y_3_2gf,25
quantized_shufflenet_v2_x2_0,26
quantized_shufflenet_v2_x0_5,27
mnasnet0_75,28
densenet169,29
resnet101,30
wide_resnet50_2,31
regnet_y_400mf,32
googlenet,33
vit_l_32,34
squeezenet1_1,35
quantized_mobilenet_v2,36
resnet18,37
regnet_x_1_6gf,38
efficientnet_v2_s,39
vgg13,40
regnet_y_8gf,41
resnet152,42
mnasnet1_0,43
mobilenet_v3_large,44
vit_b_32,45
efficientnet_b2,46
regnet_y_800mf,47
efficientnet_b0,48
quantized_resnet18,49
quantized_mobilenet_v3_large,50
vgg13_bn,51
quantized_inception_v3,52
quantized_googlenet,53
regnet_x_8gf,54
alexnet,55
regnet_x_3_2gf,56
vit_b_16,57
convnext_small,58
mnasnet0_5,59
resnet50,60
mobilenet_v2,61
swin_s,62
vgg19,63
vgg11_bn,64
efficientnet_b1,65
regnet_x_400mf,66
vgg16_bn,67
